datetime,temperature,outside_temperature,person
2025-07-30 00:00:00,25.2,14.4,Kilimanjaro
2025-07-30 01:00:00,25.15,14.2,Kilimanjaro
2025-07-30 02:00:00,25.1,14.0,Kilimanjaro
2025-07-30 03:00:00,25.1,13.5,Kilimanjaro
2025-07-30 04:00:00,25.1,13.7,Kilimanjaro
2025-07-30 05:00:00,25.25,14.4,Kilimanjaro
2025-07-30 06:00:00,25.4,15.9,Kilimanjaro
2025-07-30 07:00:00,25.7,17.3,Kilimanjaro
2025-07-30 08:00:00,26.0,18.7,Kilimanjaro
2025-07-30 09:00:00,26.1,18.9,Kilimanjaro
2025-07-30 10:00:00,26.2,20.4,Kilimanjaro
2025-07-30 11:00:00,26.1,20.9,Kilimanjaro
2025-07-30 12:00:00,26.0,20.9,Kilimanjaro
2025-07-30 13:00:00,25.95,20.6,Kilimanjaro
2025-07-30 14:00:00,25.9,21.7,Kilimanjaro
2025-07-30 15:00:00,25.85,22.9,Kilimanjaro
2025-07-30 16:00:00,25.8,22.3,Kilimanjaro
2025-07-30 17:00:00,25.75,21.3,Kilimanjaro
2025-07-30 18:00:00,25.7,21.0,Kilimanjaro
2025-07-30 19:00:00,25.7,19.3,Kilimanjaro
2025-07-30 20:00:00,25.7,17.6,Kilimanjaro
2025-07-30 21:00:00,25.7,17.9,Kilimanjaro
2025-07-30 22:00:00,25.7,17.5,Kilimanjaro
2025-07-30 23:00:00,25.7,17.1,Kilimanjaro
