"","datetime","temperature","unix_ms"
"1",2025-07-30,14.4,1753833600000
"2",2025-07-30 01:00:00,14.2,1753837200000
"3",2025-07-30 02:00:00,14,1753840800000
"4",2025-07-30 03:00:00,13.5,1753844400000
"5",2025-07-30 04:00:00,13.7,1.753848e+12
"6",2025-07-30 05:00:00,14.4,1753851600000
"7",2025-07-30 06:00:00,15.9,1753855200000
"8",2025-07-30 07:00:00,17.3,1753858800000
"9",2025-07-30 08:00:00,18.7,1753862400000
"10",2025-07-30 09:00:00,18.9,1.753866e+12
"11",2025-07-30 10:00:00,20.4,1753869600000
"12",2025-07-30 11:00:00,20.9,1753873200000
"13",2025-07-30 12:00:00,20.9,1753876800000
"14",2025-07-30 13:00:00,20.6,1753880400000
"15",2025-07-30 14:00:00,21.7,1.753884e+12
"16",2025-07-30 15:00:00,22.9,1753887600000
"17",2025-07-30 16:00:00,22.3,1753891200000
"18",2025-07-30 17:00:00,21.3,1753894800000
"19",2025-07-30 18:00:00,21,1753898400000
"20",2025-07-30 19:00:00,19.3,1.753902e+12
"21",2025-07-30 20:00:00,17.6,1753905600000
"22",2025-07-30 21:00:00,17.9,1753909200000
"23",2025-07-30 22:00:00,17.5,1753912800000
"24",2025-07-30 23:00:00,17.1,1753916400000
